shot_id,campaign,shot_objective,postshot_description,shot_postshot_comment,shot_summary,shot_program,shot_scenario
11766,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,"GOOD PLASMA, RAN FINE. SL JOINT ALARMS RATHER HIGH","GOOD PLASMA, RAN FINE. SL JOINT ALARMS RATHER HIGH",COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11767,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,OK BUT LOST VERTICAL CONTROL - FA2 JUST DIED AWAY. SL JOINT ALARMS A BIT LOWER.,OK BUT LOST VERTICAL CONTROL - FA2 JUST DIED AWAY. SL JOINT ALARMS A BIT LOWER.,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11768,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,OK. GOT FA4 BUT NOT FA3,OK. GOT FA4 BUT NOT FA3,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11769,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,SLIDING JOINT ALARMS A BIT LOWER. PLASMA OK.,SLIDING JOINT ALARMS A BIT LOWER. PLASMA OK.,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11771,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,GOOD PLASMA F/B CONTROL. SLIDING JOINT ALARMS A BIT LOWER.,GOOD PLASMA F/B CONTROL. SLIDING JOINT ALARMS A BIT LOWER.,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11772,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,LONGER FLAT TOP AS INTENDED. SLIDING JOINT ALARMS LOWER.,LONGER FLAT TOP AS INTENDED. SLIDING JOINT ALARMS LOWER.,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11773,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,SCHEDULER HUNG. RADIUS LOOKS WELL CONTROLLED BUT ADA DALPHA PEAK RADIUS IS BONKERS AROUND 200MS,SCHEDULER HUNG. RADIUS LOOKS WELL CONTROLLED BUT ADA DALPHA PEAK RADIUS IS BONKERS AROUND 200MS,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11774,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,LOOKS GOOD ON DATA BUT BLANK PICTURE ON HSV,LOOKS GOOD ON DATA BUT BLANK PICTURE ON HSV,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11775,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,HSV DOESN'T GET TRIGGER - NOT SURE WHY,HSV DOESN'T GET TRIGGER - NOT SURE WHY,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
11776,M5,COMMISSION TOKAMAK WITH TECHNICAL PLASMA,FINALLY GOT VISIBLE PLASMA. TOUCHES OUTBOARD COMPONENTS DURING PLASMA CURRENT RAMPDOWN,FINALLY GOT VISIBLE PLASMA. TOUCHES OUTBOARD COMPONENTS DURING PLASMA CURRENT RAMPDOWN,COMMISSIONED ENGINEERING PLASMA WITH MOST PLANT WORKING EXCEPT FA3. RATE OF RISE IN SLJ ALARMS CAUSED CONCERN,,
